"Genes"	"Topic"	"count"
"382"	"ROCK2"	"ACE2"	3
"383"	"RORA"	"ACE2"	0
"384"	"RPRD1A"	"ACE2"	0
"385"	"RPS6KC1"	"ACE2"	0
"386"	"RSRC2"	"ACE2"	0
"387"	"RTN4"	"ACE2"	0
"388"	"SACM1L"	"ACE2"	0
"389"	"SAMSN1"	"ACE2"	0
"390"	"SBNO1"	"ACE2"	0
"391"	"SEC23A"	"ACE2"	0
"392"	"SEC24B"	"ACE2"	0
"393"	"SEC24D"	"ACE2"	0
"394"	"SECISBP2L"	"ACE2"	0
"395"	"SEL1L3"	"ACE2"	0
"396"	"SENP6"	"ACE2"	0
"397"	"SERAC1"	"ACE2"	0
"398"	"SF3B1"	"ACE2"	0
"399"	"SGCB"	"ACE2"	0
"400"	"SH3YL1"	"ACE2"	0
"401"	"SHOC2"	"ACE2"	0
"402"	"SHPRH"	"ACE2"	0
"403"	"SKIV2L2"	"ACE2"	0
"404"	"SLC1A3"	"ACE2"	0
"405"	"SLC30A5"	"ACE2"	0
"406"	"SLC39A10"	"ACE2"	0
"407"	"SLC4A4"	"ACE2"	0
"408"	"SLC9A6"	"ACE2"	0
"409"	"SLTM"	"ACE2"	0
"410"	"SMAD2"	"ACE2"	8
"411"	"SMARCA5"	"ACE2"	0
"412"	"SMC1A"	"ACE2"	0
"413"	"SMC5"	"ACE2"	0
"414"	"SMNDC1"	"ACE2"	0
"415"	"SNAP23"	"ACE2"	0
"416"	"SNX4"	"ACE2"	0
"417"	"SOCS4"	"ACE2"	0
"418"	"SOCS5"	"ACE2"	0
"419"	"SP4"	"ACE2"	0
"420"	"SPINK5"	"ACE2"	0
"421"	"SRBD1"	"ACE2"	0
"422"	"SREK1"	"ACE2"	0
"423"	"SRP54"	"ACE2"	0
"424"	"SRPK2"	"ACE2"	0
"425"	"SRPRB"	"ACE2"	0
"426"	"SRSF11"	"ACE2"	0
"427"	"ST3GAL5"	"ACE2"	0
"428"	"ST3GAL6"	"ACE2"	0
"429"	"STAG2"	"ACE2"	0
"430"	"STK17B"	"ACE2"	0
"431"	"STRN"	"ACE2"	0
"432"	"STX17"	"ACE2"	0
"433"	"SUCLA2"	"ACE2"	0
"434"	"SUCO"	"ACE2"	0
"435"	"SUMO4"	"ACE2"	0
"436"	"SYF2"	"ACE2"	0
"437"	"SYNJ1"	"ACE2"	0
"438"	"TAB2"	"ACE2"	0
"439"	"TAF1D"	"ACE2"	0
"440"	"TANK"	"ACE2"	0
"441"	"TCF12"	"ACE2"	0
"442"	"TDP2"	"ACE2"	0
"443"	"TERF1"	"ACE2"	0
"444"	"TFPI"	"ACE2"	0
"445"	"THADA"	"ACE2"	0
"446"	"THUMPD1"	"ACE2"	0
"447"	"TIPRL"	"ACE2"	0
"448"	"TLK1"	"ACE2"	0
"449"	"TLR3"	"ACE2"	0
"450"	"TM9SF3"	"ACE2"	0
"451"	"TMCC1"	"ACE2"	0
"452"	"TMEM164"	"ACE2"	0
"453"	"TMEM167A"	"ACE2"	0
"454"	"TMEM263"	"ACE2"	0
"455"	"TMEM268"	"ACE2"	0
"456"	"TMEM30A"	"ACE2"	0
"457"	"TMEM87A"	"ACE2"	0
"458"	"TMF1"	"ACE2"	0
"459"	"TOGARAM1"	"ACE2"	0
"460"	"TOP1"	"ACE2"	0
"461"	"TOPORS"	"ACE2"	0
"462"	"TPK1"	"ACE2"	2
"463"	"TPP2"	"ACE2"	0
"464"	"TRAPPC6B"	"ACE2"	0
"465"	"TRIP11"	"ACE2"	0
"466"	"TRIP12"	"ACE2"	0
"467"	"TRMT1L"	"ACE2"	0
"468"	"TRPM7"	"ACE2"	1
"469"	"TSNAX"	"ACE2"	0
"470"	"TTC1"	"ACE2"	0
"471"	"TTC17"	"ACE2"	0
"472"	"TTC37"	"ACE2"	0
"473"	"TTC39B"	"ACE2"	0
"474"	"TWSG1"	"ACE2"	0
"475"	"TXNDC9"	"ACE2"	0
"476"	"UBA3"	"ACE2"	0
"477"	"UBA6"	"ACE2"	0
"478"	"UBE2H"	"ACE2"	0
"479"	"UBE2Q2"	"ACE2"	0
"480"	"UBE2W"	"ACE2"	0
"481"	"UBLCP1"	"ACE2"	0
"482"	"UBR2"	"ACE2"	0
"483"	"UBR5"	"ACE2"	0
"484"	"UBXN4"	"ACE2"	0
"485"	"UEVLD"	"ACE2"	0
"486"	"UFL1"	"ACE2"	0
"487"	"UFM1"	"ACE2"	0
"488"	"UGP2"	"ACE2"	0
"489"	"USO1"	"ACE2"	0
"490"	"USP16"	"ACE2"	0
"491"	"USP24"	"ACE2"	0
"492"	"USP25"	"ACE2"	0
"493"	"USP8"	"ACE2"	0
"494"	"UVRAG"	"ACE2"	0
"495"	"VPS13A"	"ACE2"	0
"496"	"VPS26A"	"ACE2"	0
"497"	"VPS36"	"ACE2"	0
"498"	"VPS41"	"ACE2"	0
"499"	"VPS45"	"ACE2"	0
"500"	"VPS50"	"ACE2"	0
"501"	"VPS8"	"ACE2"	0
"502"	"VRK2"	"ACE2"	0
"503"	"VWA8"	"ACE2"	0
"504"	"WDR33"	"ACE2"	0
"505"	"WDR44"	"ACE2"	0
"506"	"WDR48"	"ACE2"	0
"507"	"XPA"	"ACE2"	0
"508"	"XPO4"	"ACE2"	0
"509"	"XRCC4"	"ACE2"	0
"510"	"XRN1"	"ACE2"	1
"511"	"YAP1"	"ACE2"	1
"512"	"ZC3H6"	"ACE2"	0
"513"	"ZDHHC3"	"ACE2"	0
"514"	"ZEB1"	"ACE2"	2
"515"	"ZFAND1"	"ACE2"	0
"516"	"ZFP30"	"ACE2"	0
"517"	"ZFYVE16"	"ACE2"	0
"518"	"ZMYM4"	"ACE2"	0
"519"	"ZMYND11"	"ACE2"	0
"520"	"ZNF138"	"ACE2"	0
"521"	"ZNF140"	"ACE2"	0
"522"	"ZNF146"	"ACE2"	0
"523"	"ZNF175"	"ACE2"	0
"524"	"ZNF197"	"ACE2"	0
"525"	"ZNF260"	"ACE2"	0
"526"	"ZNF280C"	"ACE2"	0
"527"	"ZNF330"	"ACE2"	0
"528"	"ZNF347"	"ACE2"	0
"529"	"ZNF354A"	"ACE2"	0
"530"	"ZNF354B"	"ACE2"	0
"531"	"ZNF43"	"ACE2"	0
"532"	"ZNF438"	"ACE2"	0
"533"	"ZNF470"	"ACE2"	0
"534"	"ZNF521"	"ACE2"	0
"535"	"ZNF561"	"ACE2"	0
"536"	"ZNF638"	"ACE2"	0
"537"	"ZNF644"	"ACE2"	0
"538"	"ZNF699"	"ACE2"	0
"539"	"ZNF708"	"ACE2"	0
"540"	"ZNF75A"	"ACE2"	0
"541"	"ZNF791"	"ACE2"	0
"542"	"ZNF83"	"ACE2"	0
"543"	"ZNF841"	"ACE2"	0
"544"	"ZNF845"	"ACE2"	0
"545"	"ZRANB2"	"ACE2"	0
"546"	"GAS5"	"ACE2"	1
"547"	"GADD45GIP1"	"ACE2"	0
"548"	"RPL10A"	"ACE2"	0
"549"	"SNORD6"	"ACE2"	0
"550"	"S100A3"	"ACE2"	0
"551"	"KREMEN1"	"ACE2"	0
"552"	"SEMA3B"	"ACE2"	0
"553"	"ZNF703"	"ACE2"	0
"554"	"APH1A"	"ACE2"	0
"555"	"MYADM"	"ACE2"	0
"556"	"TMEM128"	"ACE2"	0
"557"	"MRPL10"	"ACE2"	0
"558"	"ITM2A"	"ACE2"	1
"559"	"FEM1A"	"ACE2"	0
"560"	"ZFP92"	"ACE2"	0
"561"	"CBY1"	"ACE2"	0
"562"	"DVL1"	"ACE2"	0
"563"	"FZD1"	"ACE2"	1
"564"	"DYNLRB1"	"ACE2"	0
"565"	"ALS2CL"	"ACE2"	0
"566"	"SLITRK2"	"ACE2"	0
"567"	"ANXA11"	"ACE2"	0
"568"	"ANO1"	"ACE2"	0
"569"	"ILK"	"ACE2"	0
"570"	"FXYD3"	"ACE2"	0
"571"	"VOPP1"	"ACE2"	0
"572"	"PRELID1"	"ACE2"	0
"573"	"ST8SIA1"	"ACE2"	0
"574"	"ZFP36L1"	"ACE2"	0
"575"	"CUTA"	"ACE2"	0
"576"	"HMGCLL1"	"ACE2"	0
"577"	"FAM220A"	"ACE2"	0
"578"	"PCDHB10"	"ACE2"	0
"579"	"MIR130A"	"ACE2"	0
"580"	"PCDHB15"	"ACE2"	0
"581"	"HERPUD2"	"ACE2"	0
"582"	"SIGIRR"	"ACE2"	0
"583"	"OTUD1"	"ACE2"	0
"584"	"SCARA3"	"ACE2"	0
"585"	"TMEM230"	"ACE2"	0
"586"	"OTUB1"	"ACE2"	0
"587"	"YIF1B"	"ACE2"	0
"588"	"PLXNA3"	"ACE2"	0
"589"	"CNKSR1"	"ACE2"	0
"590"	"BST2"	"ACE2"	0
"591"	"RFXANK"	"ACE2"	0
"592"	"RPS28"	"ACE2"	0
"593"	"FAM109A"	"ACE2"	0
"594"	"C4orf46"	"ACE2"	0
"595"	"MFSD10"	"ACE2"	0
"596"	"ADGRL3"	"ACE2"	0
"597"	"OXLD1"	"ACE2"	0
"598"	"TAZ"	"ACE2"	0
"599"	"HNRNPUL1"	"ACE2"	0
"600"	"FGFRL1"	"ACE2"	0
"601"	"SCAND1"	"ACE2"	0
"602"	"INF2"	"ACE2"	0
"603"	"EGLN3"	"ACE2"	0
"604"	"ERGIC3"	"ACE2"	0
"605"	"THAP7"	"ACE2"	0
"606"	"UNC93B1"	"ACE2"	0
"607"	"NDUFB9"	"ACE2"	0
"608"	"H3F3A"	"ACE2"	0
"609"	"IFI27L2"	"ACE2"	0
"610"	"EVA1B"	"ACE2"	0
"611"	"ZFPM1"	"ACE2"	0
"612"	"CD2BP2"	"ACE2"	0
"613"	"FLOT1"	"ACE2"	1
"614"	"HDAC4"	"ACE2"	1
"615"	"TMEM55B"	"ACE2"	0
"616"	"CLN3"	"ACE2"	4
"617"	"DPP7"	"ACE2"	0
"618"	"DPH7"	"ACE2"	0
"619"	"TMEM138"	"ACE2"	0
"620"	"SPAG7"	"ACE2"	0
"621"	"PCDHB16"	"ACE2"	0
"622"	"MRPL14"	"ACE2"	0
"623"	"TARBP2"	"ACE2"	0
"624"	"RANGRF"	"ACE2"	0
"625"	"RBM42"	"ACE2"	0
"626"	"TM2D1"	"ACE2"	0
"627"	"GABARAPL2"	"ACE2"	0
"628"	"TRIP6"	"ACE2"	0
"629"	"ZNF837"	"ACE2"	0
"630"	"TEAD3"	"ACE2"	0
"631"	"EXOSC4"	"ACE2"	0
"632"	"BAX"	"ACE2"	8
"633"	"TIMM44"	"ACE2"	0
"634"	"FLAD1"	"ACE2"	0
"635"	"NR1H2"	"ACE2"	0
"636"	"MMP24"	"ACE2"	0
"637"	"TMEM65"	"ACE2"	0
"638"	"COL21A1"	"ACE2"	0
"639"	"NHP2"	"ACE2"	0
"640"	"ID2"	"ACE2"	0
"641"	"DUSP22"	"ACE2"	0
"642"	"COASY"	"ACE2"	0
"643"	"MPV17"	"ACE2"	0
"644"	"SNRPD2"	"ACE2"	0
"645"	"COMMD7"	"ACE2"	0
"646"	"ANKRD16"	"ACE2"	0
"647"	"MRPL11"	"ACE2"	0
"648"	"POLR2K"	"ACE2"	0
"649"	"MFSD5"	"ACE2"	0
"650"	"UBE2J2"	"ACE2"	0
"651"	"BCKDK"	"ACE2"	0
"652"	"RHOG"	"ACE2"	0
"653"	"C19orf24"	"ACE2"	0
"654"	"UCK1"	"ACE2"	0
"655"	"STYXL1"	"ACE2"	0
"656"	"ALKBH2"	"ACE2"	0
"657"	"SMAD7"	"ACE2"	5
"658"	"PUS1"	"ACE2"	0
"659"	"VPS25"	"ACE2"	0
"660"	"NUDT16L1"	"ACE2"	0
"661"	"EDF1"	"ACE2"	0
"662"	"COX4I1"	"ACE2"	0
"663"	"ATF6B"	"ACE2"	0
"664"	"TEX264"	"ACE2"	0
"665"	"DAXX"	"ACE2"	0
